Program,Ligand,Initial Pose,Pose,Exhaustiveness,Energy Range,Energy,RMSD,Execution
Vina,A,crystal,13,8,3,-6.3,4.727,1
Vina,A,crystal,14,8,3,-6.3,5.101,1
Vina,A,crystal,15,8,3,-6.3,5.404,1
Vina,A,crystal,16,8,3,-6.2,5.089,1
Vina,A,crystal,17,8,3,-6.1,5.755,1
Vina,A,crystal,18,8,3,-6.0,6.215,1
Vina,A,crystal,19,8,3,-6.0,6.003,1
Vina,A,crystal,20,8,3,-6.0,6.244,1
Vina,A,crystal,1,8,3,-7.0,5.430,2
Vina,A,crystal,2,8,3,-6.7,5.748,2
Vina,A,crystal,3,8,3,-6.7,6.764,2
Vina,A,crystal,4,8,3,-6.7,4.910,2
Vina,A,crystal,5,8,3,-6.2,4.896,2
Vina,A,crystal,6,8,3,-6.2,5.593,2
Vina,A,crystal,7,8,3,-6.2,5.895,2
Vina,A,crystal,8,8,3,-6.2,4.587,2
Vina,A,crystal,9,8,3,-6.1,5.310,2
Vina,A,crystal,10,8,3,-6.1,5.233,2
Vina,A,crystal,11,8,3,-6.1,5.819,2
Vina,A,crystal,12,8,3,-6.0,5.268,2
Vina,A,crystal,13,8,3,-6.0,5.191,2
Vina,A,crystal,14,8,3,-6.0,4.841,2
Vina,A,crystal,15,8,3,-6.0,5.131,2
Vina,A,crystal,16,8,3,-6.0,5.630,2
Vina,A,crystal,17,8,3,-5.9,6.441,2
Vina,A,crystal,18,8,3,-5.9,5.465,2
Vina,A,crystal,19,8,3,-5.9,4.713,2
Vina,A,crystal,20,8,3,-5.8,6.303,2
Vina,A,crystal,1,8,3,-6.6,5.037,3
Vina,A,crystal,2,8,3,-6.6,6.671,3
Vina,A,crystal,3,8,3,-6.5,5.758,3
Vina,A,crystal,4,8,3,-6.5,5.767,3
Vina,A,crystal,5,8,3,-6.4,5.079,3
Vina,A,crystal,6,8,3,-6.4,4.357,3
Vina,A,crystal,7,8,3,-6.3,5.016,3
Vina,A,crystal,8,8,3,-6.3,5.095,3
Vina,A,crystal,9,8,3,-6.2,5.304,3
Vina,A,crystal,10,8,3,-6.1,5.550,3
Vina,A,crystal,11,8,3,-6.1,6.111,3
Vina,A,crystal,12,8,3,-6.0,4.302,3
Vina,A,crystal,13,8,3,-5.9,6.093,3
Vina,A,crystal,14,8,3,-5.9,4.486,3
Vina,A,crystal,15,8,3,-5.9,4.861,3
Vina,A,crystal,16,8,3,-5.8,6.025,3
Vina,A,crystal,17,8,3,-5.8,5.379,3
Vina,A,crystal,18,8,3,-5.8,4.393,3
Vina,A,crystal,19,8,3,-5.8,4.794,3
Vina,A,crystal,20,8,3,-5.7,3.402,3
Vina,A,random,1,24,1,-7.4,5.158,1
Vina,A,random,2,24,1,-7.2,4.803,1
Vina,A,random,3,24,1,-7.0,4.718,1
Vina,A,random,4,24,1,-6.9,3.897,1
Vina,A,random,5,24,1,-6.9,4.791,1
Vina,A,random,6,24,1,-6.9,5.862,1
Vina,A,random,7,24,1,-6.9,4.308,1
Vina,A,random,8,24,1,-6.8,5.679,1
Vina,A,random,9,24,1,-6.8,5.869,1
Vina,A,random,10,24,1,-6.7,4.544,1
Vina,A,random,11,24,1,-6.7,5.288,1
Vina,A,random,12,24,1,-6.7,4.369,1
Vina,A,random,13,24,1,-6.7,4.850,1
Vina,A,random,14,24,1,-6.7,4.297,1
Vina,A,random,15,24,1,-6.7,5.011,1
Vina,A,random,16,24,1,-6.7,5.313,1
Vina,A,random,17,24,1,-6.6,5.310,1
Vina,A,random,18,24,1,-6.6,5.938,1
Vina,A,random,19,24,1,-6.5,4.599,1
Vina,A,random,20,24,1,-6.5,5.749,1
Vina,A,random,1,24,1,-6.8,5.871,2
Vina,A,random,2,24,1,-6.6,5.319,2
Vina,A,random,3,24,1,-6.6,5.238,2
Vina,A,random,4,24,1,-6.5,4.516,2
Vina,A,random,5,24,1,-6.4,5.250,2
Vina,A,random,6,24,1,-6.3,4.599,2
Vina,A,random,7,24,1,-6.3,4.488,2
